id,method,model,train,eval,source,box_mAP50,box_mAP50_95,mask_mAP50,mask_mAP50_95
N3,Joint EO+IR large,YOLO11l-seg,EO+IR,eval_eo_ir,zip,0.619181204476274,0.5025063157154979,0.5822663037606259,0.33077335730504737
N6,N3+N4 mask-aware ensemble,2x YOLO11l-seg,EO+IR + IR,eval_eo_ir,zip,0.5827984455910357,0.4749387797902834,0.5462348511411214,0.3139002419166778
N7,Joint EO+IR high-res,YOLO11l-seg,EO+IR,eval_eo_ir,zip,0.6382916039002838,0.5244207554684841,0.6162974893163705,0.43102710981121767
N8,Joint EO+IR high-res XL,YOLO11x-seg,EO+IR,eval_eo_ir,manual,0.6632091284242422,0.5455120796059331,0.6462590517563528,0.4421922340208558
N3,Joint EO+IR large,YOLO11l-seg,EO+IR,eval_ir,zip,0.7166524393556059,0.6099277910124605,0.6967709251175855,0.45546279763629205
N6,N3+N4 mask-aware ensemble,2x YOLO11l-seg,EO+IR + IR,eval_ir,zip,0.7171479770816173,0.6142992918382666,0.6909596274529605,0.4552539879341147
N7,Joint EO+IR high-res,YOLO11l-seg,EO+IR,eval_ir,zip,0.7191785388636555,0.6128133550486715,0.7025035806969622,0.5250253446739105
N8,Joint EO+IR high-res XL,YOLO11x-seg,EO+IR,eval_ir,manual,0.7204501325873608,0.6091304423510924,0.7040857021798551,0.5145016775507094
